DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
171,kein_Terminated,Zeit abgelaufen,0.4,170,-6158.0,21,20250407-011135
172,kein_Terminated,Zeit abgelaufen,0.21,285,-12446.0,21,20250407-011154
173,kein_Terminated,Zeit abgelaufen,0.19,438,-19950.0,21,20250407-011214
174,kein_Terminated,Zeit abgelaufen,0.3,228,-10024.0,21,20250407-011232
175,kein_Terminated,Zeit abgelaufen,0.36,383,-16656.0,21,20250407-011251
176,kein_Terminated,Zeit abgelaufen,0.44,264,-9740.0,21,20250407-011310
177,kein_Terminated,Zeit abgelaufen,0.17,542,-25082.0,21,20250407-011329
178,kein_Terminated,Zeit abgelaufen,0.21,36,-984.0,21,20250407-011348
179,kein_Terminated,Zeit abgelaufen,0.32,240,-9494.0,21,20250407-011407
180,kein_Terminated,Zeit abgelaufen,0.33,101,-2304.0,21,20250407-011426
181,kein_Terminated,Zeit abgelaufen,0.32,146,-3830.0,21,20250407-011445
182,kein_Terminated,Zeit abgelaufen,0.2,194,-6798.0,21,20250407-011503
183,kein_Terminated,Zeit abgelaufen,0.23,31,-18.0,21,20250407-011522
184,kein_Terminated,Zeit abgelaufen,0.38,140,-5270.0,21,20250407-011541
185,kein_Terminated,Zeit abgelaufen,0.21,161,-4286.0,21,20250407-011600
186,kein_Terminated,Zeit abgelaufen,0.36,128,-3610.0,21,20250407-011619
187,kein_Terminated,Zeit abgelaufen,0.32,12,1908.0,21,20250407-011637
188,kein_Terminated,Zeit abgelaufen,0.25,80,-2344.0,21,20250407-011656
189,kein_Terminated,Zeit abgelaufen,0.45,257,-9356.0,21,20250407-011716
190,kein_Terminated,Zeit abgelaufen,0.24,111,-4290.0,21,20250407-011735
191,kein_Terminated,Zeit abgelaufen,0.37,64,-2152.0,21,20250407-011754
192,kein_Terminated,Zeit abgelaufen,0.36,87,-2180.0,21,20250407-011813
193,kein_Terminated,Zeit abgelaufen,0.4,270,-9120.0,21,20250407-011832
194,kein_Terminated,Zeit abgelaufen,0.35,105,-2732.0,21,20250407-011851
195,kein_Terminated,Zeit abgelaufen,0.37,68,-2734.0,21,20250407-011910
196,kein_Terminated,Zeit abgelaufen,0.27,218,-8398.0,21,20250407-011929
197,kein_Terminated,Zeit abgelaufen,0.24,67,-1158.0,21,20250407-011948
198,kein_Terminated,Zeit abgelaufen,0.44,51,228.0,21,20250407-012007
199,kein_Terminated,Zeit abgelaufen,0.29,16,810.0,21,20250407-012026
200,kein_Terminated,Zeit abgelaufen,0.37,39,-316.0,21,20250407-012044
201,kein_Terminated,Zeit abgelaufen,0.26,171,-5874.0,21,20250407-012103
202,kein_Terminated,Zeit abgelaufen,0.37,21,1396.0,21,20250407-012122
203,kein_Terminated,Zeit abgelaufen,0.53,149,-3816.0,21,20250407-012141
204,kein_Terminated,Zeit abgelaufen,0.41,27,-586.0,21,20250407-012159
205,kein_Terminated,Zeit abgelaufen,0.35,88,-3644.0,21,20250407-012218
206,kein_Terminated,Zeit abgelaufen,0.36,372,-16830.0,21,20250407-012237
