DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,2,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,10,0.5,5,-1000,0.15,0.25,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
0,Zu nah an der Wand,kein_Truncared,0.01,2,-983.0,0.5,21,20250408-190549
0,Zu nah an der Wand,kein_Truncared,0.03,8,-833.5,13.0,21,20250408-190618
0,Zu nah an der Wand,kein_Truncared,0.01,2,-983.0,0.5,21,20250408-190654
0,Zu nah an der Wand,kein_Truncared,0.02,2,-893.5,5.0,21,20250408-190727
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-190802
0,Zu nah an der Wand,kein_Truncared,0.01,3,-973.5,1.0,21,20250408-190836
0,Zu nah an der Wand,kein_Truncared,0.05,16,-708.0,17.5,21,20250408-190911
0,Zu nah an der Wand,kein_Truncared,0.01,3,-965.5,1.0,21,20250408-190943
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-191016
0,Zu nah an der Wand,kein_Truncared,0.08,3,-534.0,29.5,21,20250408-191049
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-191119
0,Zu nah an der Wand,kein_Truncared,0.03,4,-861.0,6.5,21,20250408-191145
0,Zu nah an der Wand,kein_Truncared,0.01,3,-971.5,1.0,21,20250408-191216
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-191246
0,Zu nah an der Wand,kein_Truncared,0.02,3,-895.5,7.0,21,20250408-191319
