DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
103,kein_Terminated,Zeit abgelaufen,0.19,140,788,300.5,26,6,20250423-081623
104,kein_Terminated,Zeit abgelaufen,0.15,30,1400,300.5,26,8,20250423-081641
105,kein_Terminated,Zeit abgelaufen,0.15,142,328,300.5,15,5,20250423-081657
106,kein_Terminated,Zeit abgelaufen,0.16,15,1778,300.5,15,5,20250423-081713
107,kein_Terminated,Zeit abgelaufen,0.17,17,1870,300.5,15,3,20250423-081729
108,kein_Terminated,Zeit abgelaufen,0.21,152,1044,300.5,15,3,20250423-081744
109,kein_Terminated,Zeit abgelaufen,0.12,202,-568,300.5,15,2,20250423-081800
110,kein_Terminated,Zeit abgelaufen,0.11,104,208,300.5,15,2,20250423-081814
111,kein_Terminated,Zeit abgelaufen,0.17,85,1254,300.5,15,2,20250423-081829
112,kein_Terminated,Zeit abgelaufen,0.18,146,560,300.5,26,3,20250423-081847
113,kein_Terminated,Zeit abgelaufen,0.21,73,1722,300.5,26,3,20250423-081906
114,kein_Terminated,Zeit abgelaufen,0.11,167,-418,300.5,26,5,20250423-081924
115,kein_Terminated,Zeit abgelaufen,0.24,131,1442,300.5,26,5,20250423-081943
116,kein_Terminated,Zeit abgelaufen,0.18,97,1062,300.5,26,9,20250423-082002
117,kein_Terminated,Zeit abgelaufen,0.18,68,1380,300.5,26,9,20250423-082021
118,kein_Terminated,Zeit abgelaufen,0.17,119,786,300.5,26,8,20250423-082040
119,kein_Terminated,Zeit abgelaufen,0.18,42,1868,300.5,8,2,20250423-082055
120,kein_Terminated,Zeit abgelaufen,0.25,52,2600,300.5,8,2,20250423-082111
