DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
529,kein_Terminated,Zeit abgelaufen,0.53,45,2412.75,300.5,8,8,20250415-022746,,,,,,,,,,,,,,,,,,,
530,kein_Terminated,Zeit abgelaufen,0.5,144,-7973.5,300.5,8,8,20250415-022801,,,,,,,,,,,,,,,,,,,
531,kein_Terminated,Zeit abgelaufen,0.56,22,5026,300.5,8,8,20250415-022815,,,,,,,,,,,,,,,,,,,
532,kein_Terminated,Zeit abgelaufen,0.16,499,-48163.75,300.5,15,4,20250415-022831,,,,,,,,,,,,,,,,,,,
533,kein_Terminated,Zeit abgelaufen,0.12,0,1574.5,300.5,15,4,20250415-022847,,,,,,,,,,,,,,,,,,,
534,kein_Terminated,Zeit abgelaufen,0.12,540,-52842.5,300.5,15,9,20250415-022903,,,,,,,,,,,,,,,,,,,
535,kein_Terminated,Zeit abgelaufen,0.19,12,1205.5,300.5,15,9,20250415-022919,,,,,,,,,,,,,,,,,,,
536,kein_Terminated,Zeit abgelaufen,0.3,271,-23488.75,300.5,15,8,20250415-022934,,,,,,,,,,,,,,,,,,,
537,kein_Terminated,Zeit abgelaufen,0.17,41,-1964.25,300.5,15,8,20250415-022949,,,,,,,,,,,,,,,,,,,
538,kein_Terminated,Zeit abgelaufen,0.16,265,-24560.25,300.5,15,1,20250415-023004,,,,,,,,,,,,,,,,,,,
539,kein_Terminated,Zeit abgelaufen,0.37,339,-29283.75,300.5,8,3,20250415-023018,,,,,,,,,,,,,,,,,,,
540,kein_Terminated,Zeit abgelaufen,0.25,161,-12954.25,300.5,8,3,20250415-023032,,,,,,,,,,,,,,,,,,,
541,kein_Terminated,Zeit abgelaufen,0.26,88,-5511.5,300.5,8,1,20250415-023046,,,,,,,,,,,,,,,,,,,
542,kein_Terminated,Zeit abgelaufen,0.52,60,761.5,300.5,8,1,20250415-023101,,,,,,,,,,,,,,,,,,,
543,kein_Terminated,Zeit abgelaufen,0.36,29,1752.75,300.5,8,7,20250415-023115,,,,,,,,,,,,,,,,,,,
544,kein_Terminated,Zeit abgelaufen,0.37,6,4190,300.5,8,7,20250415-023130,,,,,,,,,,,,,,,,,,,
545,kein_Terminated,Zeit abgelaufen,0.37,334,-28812,300.5,8,3,20250415-023144,,,,,,,,,,,,,,,,,,,
546,kein_Terminated,Zeit abgelaufen,0.48,18,4421,300.5,0,6,20250415-023158,,,,,,,,,,,,,,,,,,,
547,kein_Terminated,Zeit abgelaufen,0.49,65,-58.25,300.5,0,6,20250415-023213,,,,,,,,,,,,,,,,,,,
548,kein_Terminated,Zeit abgelaufen,0.58,15,6023.25,300.5,0,5,20250415-023227,,,,,,,,,,,,,,,,,,,
549,kein_Terminated,Zeit abgelaufen,0.55,98,-2695,300.5,0,5,20250415-023241,,,,,,,,,,,,,,,,,,,
550,kein_Terminated,Zeit abgelaufen,0.53,3,6688.25,300.5,0,1,20250415-023256,,,,,,,,,,,,,,,,,,,
551,kein_Terminated,Zeit abgelaufen,0.41,18,3565,300.5,0,1,20250415-023310,,,,,,,,,,,,,,,,,,,
552,kein_Terminated,Zeit abgelaufen,0.62,87,-718.75,300.5,0,7,20250415-023324,,,,,,,,,,,,,,,,,,,
553,kein_Terminated,Zeit abgelaufen,0.22,6,2318,300.5,15,3,20250415-023340,,,,,,,,,,,,,,,,,,,
554,kein_Terminated,Zeit abgelaufen,0.44,117,-6193.25,300.5,15,3,20250415-023356,,,,,,,,,,,,,,,,,,,
555,kein_Terminated,Zeit abgelaufen,0.2,27,-157.75,300.5,15,6,20250415-023410,,,,,,,,,,,,,,,,,,,
556,kein_Terminated,Zeit abgelaufen,0.03,240,-23777.5,300.5,15,6,20250415-023424,,,,,,,,,,,,,,,,,,,
557,kein_Terminated,Zeit abgelaufen,0.31,257,-21962.25,300.5,15,9,20250415-023440,,,,,,,,,,,,,,,,,,,
558,kein_Terminated,Zeit abgelaufen,0.22,24,468.5,300.5,15,9,20250415-023455,,,,,,,,,,,,,,,,,,,
559,kein_Terminated,Zeit abgelaufen,0.31,177,-13806.25,300.5,15,6,20250415-023511,,,,,,,,,,,,,,,,,,,
560,kein_Terminated,Zeit abgelaufen,0.25,363,-33261.75,300.5,8,6,20250415-023525,,,,,,,,,,,,,,,,,,,
561,kein_Terminated,Zeit abgelaufen,0.39,107,-5681.75,300.5,8,6,20250415-023539,,,,,,,,,,,,,,,,,,,
562,kein_Terminated,Zeit abgelaufen,0.43,59,-309.75,300.5,8,5,20250415-023554,,,,,,,,,,,,,,,,,,,
563,kein_Terminated,Zeit abgelaufen,0.47,62,-124,300.5,8,5,20250415-023609,,,,,,,,,,,,,,,,,,,
564,kein_Terminated,Zeit abgelaufen,0.54,196,-12716.5,300.5,8,3,20250415-023624,,,,,,,,,,,,,,,,,,,
565,kein_Terminated,Zeit abgelaufen,0.5,122,-5769,300.5,8,3,20250415-023639,,,,,,,,,,,,,,,,,,,
566,kein_Terminated,Zeit abgelaufen,0.43,24,3216.5,300.5,8,4,20250415-023653,,,,,,,,,,,,,,,,,,,
567,kein_Terminated,Zeit abgelaufen,0.5,47,1855.25,300.5,8,4,20250415-023708,,,,,,,,,,,,,,,,,,,
568,kein_Terminated,Zeit abgelaufen,0.22,429,-40359.25,300.5,8,4,20250415-023722,,,,,,,,,,,,,,,,,,,
569,kein_Terminated,Zeit abgelaufen,0.44,21,3582.75,300.5,8,8,20250415-023737,,,,,,,,,,,,,,,,,,,
570,kein_Terminated,Zeit abgelaufen,0.51,184,-11875.5,300.5,8,8,20250415-023752,,,,,,,,,,,,,,,,,,,
571,kein_Terminated,Zeit abgelaufen,0.47,224,-16473.5,300.5,8,9,20250415-023806,,,,,,,,,,,,,,,,,,,
572,kein_Terminated,Zeit abgelaufen,0.26,11,2350.25,300.5,8,9,20250415-023821,,,,,,,,,,,,,,,,,,,
573,kein_Terminated,Zeit abgelaufen,0.29,236,-19926.5,300.5,8,2,20250415-023836,,,,,,,,,,,,,,,,,,,
574,kein_Terminated,Zeit abgelaufen,0.62,43,3674.25,300.5,8,4,20250415-023850,,,,,,,,,,,,,,,,,,,
575,kein_Terminated,Zeit abgelaufen,0.31,78,-3752,300.5,8,4,20250415-023905,,,,,,,,,,,,,,,,,,,
576,kein_Terminated,Zeit abgelaufen,0.42,274,-22119,300.5,8,6,20250415-023920,,,,,,,,,,,,,,,,,,,
577,kein_Terminated,Zeit abgelaufen,0.49,81,-1742.25,300.5,8,6,20250415-023934,,,,,,,,,,,,,,,,,,,
578,kein_Terminated,Zeit abgelaufen,0.33,108,-6542.5,300.5,8,2,20250415-023949,,,,,,,,,,,,,,,,,,,
579,kein_Terminated,Zeit abgelaufen,0.35,179,-13403.75,300.5,8,2,20250415-024004,,,,,,,,,,,,,,,,,,,
580,kein_Terminated,Zeit abgelaufen,0.38,167,-11834.75,300.5,8,6,20250415-024019,,,,,,,,,,,,,,,,,,,
581,kein_Terminated,Zeit abgelaufen,0.5,69,-361.25,300.5,0,7,20250415-024033,,,,,,,,,,,,,,,,,,,
7,kein_Terminated,Zeit abgelaufen,0.1,0,1334.5,300.5,5,2,20250415-024054,,,,,,,,,,,,,,,,,,,
582,kein_Terminated,Zeit abgelaufen,0.47,210,-14967,300.5,0,7,20250415-024101,,,,,,,,,,,,,,,,,,,
583,kein_Terminated,Zeit abgelaufen,0.48,7,5617.25,300.5,0,5,20250415-024116,,,,,,,,,,,,,,,,,,,
584,kein_Terminated,Zeit abgelaufen,0.43,278,-22394,300.5,0,5,20250415-024130,,,,,,,,,,,,,,,,,,,
585,kein_Terminated,Zeit abgelaufen,0.51,24,4228.5,300.5,0,1,20250415-024144,,,,,,,,,,,,,,,,,,,
586,kein_Terminated,Zeit abgelaufen,0.43,4,5167.5,300.5,0,1,20250415-024159,,,,,,,,,,,,,,,,,,,
587,kein_Terminated,Zeit abgelaufen,0.29,78,-3996,300.5,0,4,20250415-024213,,,,,,,,,,,,,,,,,,,
588,kein_Terminated,Zeit abgelaufen,0.26,9,2211.75,300.5,26,1,20250415-024231,,,,,,,,,,,,,,,,,,,
589,kein_Terminated,Zeit abgelaufen,0.4,5,4362.75,300.5,26,1,20250415-024250,,,,,,,,,,,,,,,,,,,
590,kein_Terminated,Zeit abgelaufen,0.44,7,4625.25,300.5,26,4,20250415-024309,,,,,,,,,,,,,,,,,,,
591,kein_Terminated,Zeit abgelaufen,0.46,20,3491.5,300.5,26,4,20250415-024327,,,,,,,,,,,,,,,,,,,
592,kein_Terminated,Zeit abgelaufen,0.42,5,4510.75,300.5,26,5,20250415-024346,,,,,,,,,,,,,,,,,,,
593,kein_Terminated,Zeit abgelaufen,0.51,14,4680,300.5,26,5,20250415-024405,,,,,,,,,,,,,,,,,,,
594,kein_Terminated,Zeit abgelaufen,0.24,10,1911,300.5,26,2,20250415-024424,,,,,,,,,,,,,,,,,,,
595,kein_Terminated,Zeit abgelaufen,0.39,312,-26391.5,300.5,8,9,20250415-024438,,,,,,,,,,,,,,,,,,,
596,kein_Terminated,Zeit abgelaufen,0.19,31,-612.75,300.5,8,9,20250415-024452,,,,,,,,,,,,,,,,,,,
597,kein_Terminated,Zeit abgelaufen,0.39,186,-13681,300.5,8,2,20250415-024507,,,,,,,,,,,,,,,,,,,
598,kein_Terminated,Zeit abgelaufen,0.41,49,473.75,300.5,8,2,20250415-024521,,,,,,,,,,,,,,,,,,,
599,kein_Terminated,Zeit abgelaufen,0.53,70,-198,300.5,8,3,20250415-024535,,,,,,,,,,,,,,,,,,,
600,kein_Terminated,Zeit abgelaufen,0.47,23,3813.25,300.5,8,3,20250415-024550,,,,,,,,,,,,,,,,,,,
601,kein_Terminated,Zeit abgelaufen,0.56,14,5860,300.5,8,7,20250415-024605,,,,,,,,,,,,,,,,,,,
602,kein_Terminated,Zeit abgelaufen,0.48,25,3259.75,300.5,26,0,20250415-024623,,,,,,,,,,,,,,,,,,,
603,kein_Terminated,Zeit abgelaufen,0.53,17,4617.75,300.5,26,0,20250415-024642,,,,,,,,,,,,,,,,,,,
604,kein_Terminated,Zeit abgelaufen,0.51,8,5308.5,300.5,26,6,20250415-024701,,,,,,,,,,,,,,,,,,,
605,kein_Terminated,Zeit abgelaufen,0.48,16,4186.5,300.5,26,6,20250415-024720,,,,,,,,,,,,,,,,,,,
606,kein_Terminated,Zeit abgelaufen,0.42,13,3716.75,300.5,26,8,20250415-024738,,,,,,,,,,,,,,,,,,,
607,kein_Terminated,Zeit abgelaufen,0.51,16,4514.5,300.5,26,8,20250415-024757,,,,,,,,,,,,,,,,,,,
608,kein_Terminated,Zeit abgelaufen,0.36,19,2380.25,300.5,26,1,20250415-024816,,,,,,,,,,,,,,,,,,,
609,kein_Terminated,Zeit abgelaufen,0.33,316,-27566.5,300.5,0,6,20250415-024830,,,,,,,,,,,,,,,,,,,
610,kein_Terminated,Zeit abgelaufen,0.54,128,-5877.5,300.5,0,6,20250415-024845,,,,,,,,,,,,,,,,,,,
611,kein_Terminated,Zeit abgelaufen,0.51,166,-9990,300.5,0,4,20250415-024859,,,,,,,,,,,,,,,,,,,
612,kein_Terminated,Zeit abgelaufen,0.24,219,-18857.75,300.5,0,4,20250415-024913,,,,,,,,,,,,,,,,,,,
613,kein_Terminated,Zeit abgelaufen,0.4,14,3868,300.5,0,2,20250415-024927,,,,,,,,,,,,,,,,,,,
614,kein_Terminated,Zeit abgelaufen,0.38,36,1419.5,300.5,0,2,20250415-024942,,,,,,,,,,,,,,,,,,,
615,kein_Terminated,Zeit abgelaufen,0.21,10,1735,300.5,0,1,20250415-024956,,,,,,,,,,,,,,,,,,,
616,kein_Terminated,Zeit abgelaufen,0.3,270,-23220,300.5,8,5,20250415-025010,,,,,,,,,,,,,,,,,,,
617,kein_Terminated,Zeit abgelaufen,0.45,36,2199.5,300.5,8,5,20250415-025025,,,,,,,,,,,,,,,,,,,
618,kein_Terminated,Zeit abgelaufen,0.5,17,4745.75,300.5,8,9,20250415-025040,,,,,,,,,,,,,,,,,,,
619,kein_Terminated,Zeit abgelaufen,0.18,9,1519.75,300.5,8,9,20250415-025055,,,,,,,,,,,,,,,,,,,
620,kein_Terminated,Zeit abgelaufen,0.28,2,3461,300.5,8,5,20250415-025110,,,,,,,,,,,,,,,,,,,
621,kein_Terminated,Zeit abgelaufen,0.4,2,5081,300.5,8,5,20250415-025124,,,,,,,,,,,,,,,,,,,
622,kein_Terminated,Zeit abgelaufen,0.49,127,-6380.75,300.5,8,8,20250415-025139,,,,,,,,,,,,,,,,,,,
623,kein_Terminated,Zeit abgelaufen,0.3,34,241,300.5,26,5,20250415-025158,,,,,,,,,,,,,,,,,,,
624,kein_Terminated,Zeit abgelaufen,0.4,5,4306.75,300.5,26,5,20250415-025216,,,,,,,,,,,,,,,,,,,
625,kein_Terminated,Zeit abgelaufen,0.29,5,3034.75,300.5,26,0,20250415-025235,,,,,,,,,,,,,,,,,,,
626,kein_Terminated,Zeit abgelaufen,0.48,32,2474.5,300.5,26,0,20250415-025254,,,,,,,,,,,,,,,,,,,
627,kein_Terminated,Zeit abgelaufen,0.45,12,4197.5,300.5,26,1,20250415-025313,,,,,,,,,,,,,,,,,,,
628,kein_Terminated,Zeit abgelaufen,0.44,14,3920,300.5,26,1,20250415-025331,,,,,,,,,,,,,,,,,,,
629,kein_Terminated,Zeit abgelaufen,0.23,5,2222.75,300.5,26,6,20250415-025350,,,,,,,,,,,,,,,,,,,
630,kein_Terminated,Zeit abgelaufen,0.5,12,4725.5,300.5,26,3,20250415-025408,,,,,,,,,,,,,,,,,,,
631,kein_Terminated,Zeit abgelaufen,0.5,44,1517.5,300.5,26,3,20250415-025427,,,,,,,,,,,,,,,,,,,
632,kein_Terminated,Zeit abgelaufen,0.6,21,5078.75,300.5,26,7,20250415-025446,,,,,,,,,,,,,,,,,,,
633,kein_Terminated,Zeit abgelaufen,0.3,23,1353.25,300.5,26,7,20250415-025505,,,,,,,,,,,,,,,,,,,
634,kein_Terminated,Zeit abgelaufen,0.44,26,2699,300.5,26,3,20250415-025523,,,,,,,,,,,,,,,,,,,
635,kein_Terminated,Zeit abgelaufen,0.53,9,5399.75,300.5,26,3,20250415-025542,,,,,,,,,,,,,,,,,,,
636,kein_Terminated,Zeit abgelaufen,0.53,30,3308,300.5,26,7,20250415-025601,,,,,,,,,,,,,,,,,,,
637,kein_Terminated,Zeit abgelaufen,0.36,82,-3619,300.5,15,2,20250415-025616,,,,,,,,,,,,,,,,,,,
638,kein_Terminated,Zeit abgelaufen,0.29,72,-3519.5,300.5,15,2,20250415-025631,,,,,,,,,,,,,,,,,,,
639,kein_Terminated,Zeit abgelaufen,0.18,51,-2859.75,300.5,15,8,20250415-025647,,,,,,,,,,,,,,,,,,,
640,kein_Terminated,Zeit abgelaufen,0.24,146,-11619,300.5,15,8,20250415-025702,,,,,,,,,,,,,,,,,,,
641,kein_Terminated,Zeit abgelaufen,0.29,22,1578,300.5,15,5,20250415-025717,,,,,,,,,,,,,,,,,,,
642,kein_Terminated,Zeit abgelaufen,0.42,196,-14340.5,300.5,15,5,20250415-025732,,,,,,,,,,,,,,,,,,,
643,kein_Terminated,Zeit abgelaufen,0.38,104,-5559.5,300.5,15,6,20250415-025748,,,,,,,,,,,,,,,,,,,
644,kein_Terminated,Zeit abgelaufen,0.15,27,-745.75,300.5,15,4,20250415-025803,,,,,,,,,,,,,,,,,,,
645,kein_Terminated,Zeit abgelaufen,0.21,43,-1573.75,300.5,15,4,20250415-025819,,,,,,,,,,,,,,,,,,,
646,kein_Terminated,Zeit abgelaufen,0.29,161,-12534.25,300.5,15,6,20250415-025834,,,,,,,,,,,,,,,,,,,
647,kein_Terminated,Zeit abgelaufen,0.22,344,-31859.5,300.5,15,6,20250415-025850,,,,,,,,,,,,,,,,,,,
648,kein_Terminated,Zeit abgelaufen,0.22,79,-5104.75,300.5,15,6,20250415-025905,,,,,,,,,,,,,,,,,,,
649,kein_Terminated,Zeit abgelaufen,0.19,62,-3836,300.5,15,6,20250415-025919,,,,,,,,,,,,,,,,,,,
650,kein_Terminated,Zeit abgelaufen,0.32,261,-22245.25,300.5,15,3,20250415-025935,,,,,,,,,,,,,,,,,,,
651,kein_Terminated,Zeit abgelaufen,0.54,13,5812.75,300.5,5,4,20250415-025950,,,,,,,,,,,,,,,,,,,
652,kein_Terminated,Zeit abgelaufen,0.38,291,-24315.75,300.5,5,4,20250415-030004,,,,,,,,,,,,,,,,,,,
653,kein_Terminated,Zeit abgelaufen,0.6,42,3727,300.5,5,5,20250415-030019,,,,,,,,,,,,,,,,,,,
654,kein_Terminated,Zeit abgelaufen,0.59,29,4820.75,300.5,5,5,20250415-030033,,,,,,,,,,,,,,,,,,,
655,kein_Terminated,Zeit abgelaufen,0.31,332,-29358.5,300.5,5,7,20250415-030047,,,,,,,,,,,,,,,,,,,
656,kein_Terminated,Zeit abgelaufen,0.59,16,6130.5,300.5,5,7,20250415-030101,,,,,,,,,,,,,,,,,,,
657,kein_Terminated,Zeit abgelaufen,0.5,39,2725.25,300.5,5,4,20250415-030116,,,,,,,,,,,,,,,,,,,
658,kein_Terminated,Zeit abgelaufen,0.45,28,3117.5,300.5,8,6,20250415-030130,,,,,,,,,,,,,,,,,,,
659,kein_Terminated,Zeit abgelaufen,0.34,195,-15267.75,300.5,8,6,20250415-030145,,,,,,,,,,,,,,,,,,,
660,kein_Terminated,Zeit abgelaufen,0.49,142,-7896,300.5,8,3,20250415-030159,,,,,,,,,,,,,,,,,,,
661,kein_Terminated,Zeit abgelaufen,0.22,451,-42503.75,300.5,8,3,20250415-030213,,,,,,,,,,,,,,,,,,,
662,kein_Terminated,Zeit abgelaufen,0.39,142,-9240,300.5,8,6,20250415-030228,,,,,,,,,,,,,,,,,,,
663,kein_Terminated,Zeit abgelaufen,0.4,14,3856,300.5,8,6,20250415-030242,,,,,,,,,,,,,,,,,,,
664,kein_Terminated,Zeit abgelaufen,0.45,35,2396.25,300.5,8,2,20250415-030257,,,,,,,,,,,,,,,,,,,
8,kein_Terminated,Zeit abgelaufen,0.01,602,-60421,300.5,15,4,20250415-030321,,,,,,,,,,,,,,,,,,,
665,kein_Terminated,Zeit abgelaufen,0.18,504,-48307.5,300.5,5,5,20250415-030328,,,,,,,,,,,,,,,,,,,
666,kein_Terminated,Zeit abgelaufen,0.43,102,-4590,300.5,5,5,20250415-030343,,,,,,,,,,,,,,,,,,,
667,kein_Terminated,Zeit abgelaufen,0.46,125,-6523.25,300.5,5,8,20250415-030358,,,,,,,,,,,,,,,,,,,
668,kein_Terminated,Zeit abgelaufen,0.5,163,-9763.75,300.5,5,8,20250415-030412,,,,,,,,,,,,,,,,,,,
669,kein_Terminated,Zeit abgelaufen,0.28,413,-37839.25,300.5,5,1,20250415-030426,,,,,,,,,,,,,,,,,,,
670,kein_Terminated,Zeit abgelaufen,0.54,8,6344.5,300.5,5,1,20250415-030441,,,,,,,,,,,,,,,,,,,
671,kein_Terminated,Zeit abgelaufen,0.5,16,5050.5,300.5,5,2,20250415-030456,,,,,,,,,,,,,,,,,,,
672,kein_Terminated,Zeit abgelaufen,0.68,9,8123.75,300.5,5,7,20250415-030510,,,,,,,,,,,,,,,,,,,
673,kein_Terminated,Zeit abgelaufen,0.52,248,-18071.5,300.5,5,7,20250415-030524,,,,,,,,,,,,,,,,,,,
674,kein_Terminated,Zeit abgelaufen,0.65,29,5704.75,300.5,5,2,20250415-030539,,,,,,,,,,,,,,,,,,,
675,kein_Terminated,Zeit abgelaufen,0.52,56,1264.5,300.5,5,2,20250415-030553,,,,,,,,,,,,,,,,,,,
676,kein_Terminated,Zeit abgelaufen,0.42,181,-12657.25,300.5,5,3,20250415-030608,,,,,,,,,,,,,,,,,,,
677,kein_Terminated,Zeit abgelaufen,0.47,127,-6608.75,300.5,5,3,20250415-030622,,,,,,,,,,,,,,,,,,,
678,kein_Terminated,Zeit abgelaufen,0.57,148,-7408.5,300.5,5,0,20250415-030636,,,,,,,,,,,,,,,,,,,
679,kein_Terminated,Zeit abgelaufen,0.64,39,4585.25,300.5,5,1,20250415-030651,,,,,,,,,,,,,,,,,,,
680,kein_Terminated,Zeit abgelaufen,0.58,134,-5806,300.5,5,1,20250415-030705,,,,,,,,,,,,,,,,,,,
681,kein_Terminated,Zeit abgelaufen,0.36,366,-32052,300.5,5,7,20250415-030719,,,,,,,,,,,,,,,,,,,
682,kein_Terminated,Zeit abgelaufen,0.64,35,4896.25,300.5,5,7,20250415-030734,,,,,,,,,,,,,,,,,,,
683,kein_Terminated,Zeit abgelaufen,0.38,68,-1824.5,300.5,5,9,20250415-030748,,,,,,,,,,,,,,,,,,,
684,kein_Terminated,Zeit abgelaufen,0.54,85,-1461.25,300.5,5,9,20250415-030802,,,,,,,,,,,,,,,,,,,
685,kein_Terminated,Zeit abgelaufen,0.54,97,-2566.25,300.5,5,7,20250415-030817,,,,,,,,,,,,,,,,,,,
686,kein_Terminated,Zeit abgelaufen,0.38,28,2077.5,300.5,15,0,20250415-030831,,,,,,,,,,,,,,,,,,,
687,kein_Terminated,Zeit abgelaufen,0.38,167,-11950.75,300.5,15,0,20250415-030847,,,,,,,,,,,,,,,,,,,
688,kein_Terminated,Zeit abgelaufen,0.37,90,-4365,300.5,15,2,20250415-030902,,,,,,,,,,,,,,,,,,,
689,kein_Terminated,Zeit abgelaufen,0.25,393,-36316.25,300.5,15,2,20250415-030916,,,,,,,,,,,,,,,,,,,
690,kein_Terminated,Zeit abgelaufen,0.24,68,-3708.5,300.5,15,8,20250415-030932,,,,,,,,,,,,,,,,,,,
691,kein_Terminated,Zeit abgelaufen,0.2,455,-43210.75,300.5,15,8,20250415-030947,,,,,,,,,,,,,,,,,,,
692,kein_Terminated,Zeit abgelaufen,0.26,27,610.25,300.5,15,7,20250415-031002,,,,,,,,,,,,,,,,,,,
693,kein_Terminated,Zeit abgelaufen,0.25,363,-33333.75,300.5,15,3,20250415-031018,,,,,,,,,,,,,,,,,,,
694,kein_Terminated,Zeit abgelaufen,0.21,312,-28671.5,300.5,15,3,20250415-031033,,,,,,,,,,,,,,,,,,,
695,kein_Terminated,Zeit abgelaufen,0.23,171,-14189.75,300.5,15,7,20250415-031049,,,,,,,,,,,,,,,,,,,
696,kein_Terminated,Zeit abgelaufen,0.25,98,-6599,300.5,15,7,20250415-031104,,,,,,,,,,,,,,,,,,,
697,kein_Terminated,Zeit abgelaufen,0.36,296,-25247.5,300.5,15,8,20250415-031120,,,,,,,,,,,,,,,,,,,
698,kein_Terminated,Zeit abgelaufen,0.19,9,1591.75,300.5,15,8,20250415-031135,,,,,,,,,,,,,,,,,,,
699,kein_Terminated,Zeit abgelaufen,0.17,6,1558,300.5,15,4,20250415-031151,,,,,,,,,,,,,,,,,,,
700,kein_Terminated,Zeit abgelaufen,0.46,100,-3996.5,300.5,5,1,20250415-031205,,,,,,,,,,,,,,,,,,,
701,kein_Terminated,Zeit abgelaufen,0.45,98,-3975,300.5,5,1,20250415-031219,,,,,,,,,,,,,,,,,,,
702,kein_Terminated,Zeit abgelaufen,0.58,15,6171.25,300.5,5,5,20250415-031234,,,,,,,,,,,,,,,,,,,
703,kein_Terminated,Zeit abgelaufen,0.52,16,5230.5,300.5,5,5,20250415-031248,,,,,,,,,,,,,,,,,,,
704,kein_Terminated,Zeit abgelaufen,0.66,43,4398.25,300.5,5,3,20250415-031303,,,,,,,,,,,,,,,,,,,
705,kein_Terminated,Zeit abgelaufen,0.65,130,-4563,300.5,5,3,20250415-031317,,,,,,,,,,,,,,,,,,,
706,kein_Terminated,Zeit abgelaufen,0.32,331,-29105.75,300.5,5,3,20250415-031332,,,,,,,,,,,,,,,,,,,
707,kein_Terminated,Zeit abgelaufen,0.32,319,-27980.75,300.5,15,2,20250415-031347,,,,,,,,,,,,,,,,,,,
708,kein_Terminated,Zeit abgelaufen,0.21,307,-28159.75,300.5,15,2,20250415-031401,,,,,,,,,,,,,,,,,,,
709,kein_Terminated,Zeit abgelaufen,0.16,474,-45705,300.5,15,5,20250415-031417,,,,,,,,,,,,,,,,,,,
710,kein_Terminated,Zeit abgelaufen,0.36,321,-27710.25,300.5,15,5,20250415-031432,,,,,,,,,,,,,,,,,,,
711,kein_Terminated,Zeit abgelaufen,0.26,63,-3056.75,300.5,15,1,20250415-031448,,,,,,,,,,,,,,,,,,,
712,kein_Terminated,Zeit abgelaufen,0.21,46,-1964,300.5,15,1,20250415-031502,,,,,,,,,,,,,,,,,,,
713,kein_Terminated,Zeit abgelaufen,0.33,57,-1548.25,300.5,15,3,20250415-031517,,,,,,,,,,,,,,,,,,,
714,kein_Terminated,Zeit abgelaufen,0.52,31,3655.25,300.5,8,8,20250415-031532,,,,,,,,,,,,,,,,,,,
715,kein_Terminated,Zeit abgelaufen,0.33,100,-5820.5,300.5,8,8,20250415-031546,,,,,,,,,,,,,,,,,,,
716,kein_Terminated,Zeit abgelaufen,0.59,87,-1010.75,300.5,8,4,20250415-031600,,,,,,,,,,,,,,,,,,,
717,kein_Terminated,Zeit abgelaufen,0.51,158,-9284,300.5,8,4,20250415-031615,,,,,,,,,,,,,,,,,,,
718,kein_Terminated,Zeit abgelaufen,0.26,393,-36180.25,300.5,8,7,20250415-031629,,,,,,,,,,,,,,,,,,,
719,kein_Terminated,Zeit abgelaufen,0.46,16,4366.5,300.5,8,7,20250415-031644,,,,,,,,,,,,,,,,,,,
720,kein_Terminated,Zeit abgelaufen,0.47,34,2645,300.5,8,6,20250415-031659,,,,,,,,,,,,,,,,,,,
721,kein_Terminated,Zeit abgelaufen,0.44,281,-22524.25,300.5,5,2,20250415-031713,,,,,,,,,,,,,,,,,,,
722,kein_Terminated,Zeit abgelaufen,0.21,13,1532.75,300.5,5,2,20250415-031726,,,,,,,,,,,,,,,,,,,
723,kein_Terminated,Zeit abgelaufen,0.62,148,-6796.5,300.5,5,9,20250415-031740,,,,,,,,,,,,,,,,,,,
