DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
2,300,4,0,50000,1,750000,99999,100,100,50,2,0.5,5,-20,0.35,0,8,3,False,,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
131,kein_Terminated,Zeit abgelaufen,0.39,0,3040,300.5,29,2,20250426-003526
132,kein_Terminated,Zeit abgelaufen,0.38,0,3132,300.5,29,3,20250426-003554
133,kein_Terminated,Zeit abgelaufen,0.31,0,3256,300.5,29,5,20250426-003623
134,kein_Terminated,Zeit abgelaufen,0.37,5,3136,300.5,29,1,20250426-003651
135,kein_Terminated,Zeit abgelaufen,0.36,0,3036,300.5,29,6,20250426-003719
136,kein_Terminated,Zeit abgelaufen,0.3,0,3020,300.5,29,8,20250426-003747
137,kein_Terminated,Zeit abgelaufen,0.36,0,3276,300.5,29,2,20250426-003816
138,kein_Terminated,Zeit abgelaufen,0.35,23,1872,300.5,29,6,20250426-003844
139,kein_Terminated,Zeit abgelaufen,0.36,0,3128,300.5,29,2,20250426-003912
140,kein_Terminated,Zeit abgelaufen,0.35,0,3144,300.5,29,3,20250426-003940
141,kein_Terminated,Zeit abgelaufen,0.38,0,3376,300.5,29,0,20250426-004008
142,kein_Terminated,Zeit abgelaufen,0.36,2,3136,300.5,29,0,20250426-004036
143,kein_Terminated,Zeit abgelaufen,0.28,0,2808,300.5,29,7,20250426-004104
144,kein_Terminated,Zeit abgelaufen,0.41,6,2648,300.5,29,4,20250426-004133
145,kein_Terminated,Zeit abgelaufen,0.36,3,3212,300.5,29,1,20250426-004201
146,kein_Terminated,Zeit abgelaufen,0.38,0,3332,300.5,29,4,20250426-004229
147,kein_Terminated,Zeit abgelaufen,0.36,0,3108,300.5,29,4,20250426-004256
148,kein_Terminated,Zeit abgelaufen,0.34,2,2856,300.5,29,6,20250426-004324
149,kein_Terminated,Zeit abgelaufen,0.33,0,3252,300.5,29,7,20250426-004352
150,kein_Terminated,Zeit abgelaufen,0.29,0,2704,300.5,29,7,20250426-004421
151,kein_Terminated,Zeit abgelaufen,0.32,0,3160,300.5,29,7,20250426-004449
152,kein_Terminated,Zeit abgelaufen,0.38,6,2444,300.5,29,3,20250426-004517
153,kein_Terminated,Zeit abgelaufen,0.35,0,3440,300.5,29,6,20250426-004545
154,kein_Terminated,Zeit abgelaufen,0.38,2,3464,300.5,29,3,20250426-004613
155,kein_Terminated,Zeit abgelaufen,0.31,0,3116,300.5,29,5,20250426-004641
156,kein_Terminated,Zeit abgelaufen,0.36,0,3100,300.5,29,4,20250426-004709
157,kein_Terminated,Zeit abgelaufen,0.36,1,3292,300.5,29,3,20250426-004737
158,kein_Terminated,Zeit abgelaufen,0.29,0,3004,300.5,29,9,20250426-004805
159,kein_Terminated,Zeit abgelaufen,0.32,0,3232,300.5,29,5,20250426-004833
160,kein_Terminated,Zeit abgelaufen,0.38,6,3384,300.5,29,4,20250426-004901
161,kein_Terminated,Zeit abgelaufen,0.27,0,2884,300.5,29,8,20250426-004929
162,kein_Terminated,Zeit abgelaufen,0.36,5,2548,300.5,29,2,20250426-004958
163,kein_Terminated,Zeit abgelaufen,0.35,1,3108,300.5,29,3,20250426-005025
164,kein_Terminated,Zeit abgelaufen,0.37,1,3148,300.5,29,4,20250426-005053
165,kein_Terminated,Zeit abgelaufen,0.38,0,3348,300.5,29,3,20250426-005122
166,kein_Terminated,Zeit abgelaufen,0.28,0,2936,300.5,29,8,20250426-005150
2,kein_Terminated,Zeit abgelaufen,0.35,24,2396,300.5,29,7,20250426-005219
