DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
557,kein_Terminated,Zeit abgelaufen,0.44,60,5028,300.5,8,7,20250416-000656,,,,,,,,,,,,,,,,,,
558,kein_Terminated,Zeit abgelaufen,0.69,45,8314,300.5,8,7,20250416-000714,,,,,,,,,,,,,,,,,,
559,kein_Terminated,Zeit abgelaufen,0.45,85,4798,300.5,8,1,20250416-000731,,,,,,,,,,,,,,,,,,
560,kein_Terminated,Zeit abgelaufen,0.7,30,8828,300.5,5,2,20250416-000747,,,,,,,,,,,,,,,,,,
561,kein_Terminated,Zeit abgelaufen,0.67,9,8574,300.5,5,2,20250416-000804,,,,,,,,,,,,,,,,,,
562,kein_Terminated,Zeit abgelaufen,0.61,3,7838,300.5,5,5,20250416-000820,,,,,,,,,,,,,,,,,,
563,kein_Terminated,Zeit abgelaufen,0.64,19,8098,300.5,5,5,20250416-000837,,,,,,,,,,,,,,,,,,
564,kein_Terminated,Zeit abgelaufen,0.6,17,7558,300.5,5,3,20250416-000854,,,,,,,,,,,,,,,,,,
565,kein_Terminated,Zeit abgelaufen,0.68,19,8658,300.5,5,3,20250416-000910,,,,,,,,,,,,,,,,,,
566,kein_Terminated,Zeit abgelaufen,0.74,34,9308,300.5,5,8,20250416-000927,,,,,,,,,,,,,,,,,,
567,kein_Terminated,Zeit abgelaufen,0.59,83,6578,300.5,15,5,20250416-000945,,,,,,,,,,,,,,,,,,
568,kein_Terminated,Zeit abgelaufen,0.38,68,4072,300.5,15,5,20250416-001003,,,,,,,,,,,,,,,,,,
569,kein_Terminated,Zeit abgelaufen,0.54,41,6334,300.5,15,9,20250416-001020,,,,,,,,,,,,,,,,,,
570,kein_Terminated,Zeit abgelaufen,0.56,53,6442,300.5,15,9,20250416-001038,,,,,,,,,,,,,,,,,,
571,kein_Terminated,Zeit abgelaufen,0.52,75,5810,300.5,15,4,20250416-001056,,,,,,,,,,,,,,,,,,
572,kein_Terminated,Zeit abgelaufen,0.5,74,5492,300.5,15,4,20250416-001113,,,,,,,,,,,,,,,,,,
573,kein_Terminated,Zeit abgelaufen,0.64,102,6952,300.5,15,2,20250416-001131,,,,,,,,,,,,,,,,,,
574,kein_Terminated,Zeit abgelaufen,0.72,55,8626,300.5,8,7,20250416-001148,,,,,,,,,,,,,,,,,,
575,kein_Terminated,Zeit abgelaufen,0.59,38,7088,300.5,8,7,20250416-001206,,,,,,,,,,,,,,,,,,
576,kein_Terminated,Zeit abgelaufen,0.57,61,6654,300.5,8,0,20250416-001223,,,,,,,,,,,,,,,,,,
577,kein_Terminated,Zeit abgelaufen,0.57,64,6652,300.5,8,0,20250416-001240,,,,,,,,,,,,,,,,,,
578,kein_Terminated,Zeit abgelaufen,0.43,49,4954,300.5,8,8,20250416-001256,,,,,,,,,,,,,,,,,,
579,kein_Terminated,Zeit abgelaufen,0.62,32,7584,300.5,8,8,20250416-001314,,,,,,,,,,,,,,,,,,
580,kein_Terminated,Zeit abgelaufen,0.61,97,6842,300.5,8,1,20250416-001331,,,,,,,,,,,,,,,,,,
581,kein_Terminated,Zeit abgelaufen,0.49,110,4964,300.5,15,3,20250416-001349,,,,,,,,,,,,,,,,,,
7,kein_Terminated,Zeit abgelaufen,0.02,11,58,300.5,8,3,20250416-001412,,,,,,,,,,,,,,,,,,
582,kein_Terminated,Zeit abgelaufen,0.6,73,6814,300.5,15,3,20250416-001422,,,,,,,,,,,,,,,,,,
583,kein_Terminated,Zeit abgelaufen,0.69,81,7938,300.5,15,8,20250416-001439,,,,,,,,,,,,,,,,,,
584,kein_Terminated,Zeit abgelaufen,0.5,81,5434,300.5,15,8,20250416-001457,,,,,,,,,,,,,,,,,,
585,kein_Terminated,Zeit abgelaufen,0.67,78,7644,300.5,15,8,20250416-001515,,,,,,,,,,,,,,,,,,
586,kein_Terminated,Zeit abgelaufen,0.62,76,7008,300.5,15,8,20250416-001532,,,,,,,,,,,,,,,,,,
587,kein_Terminated,Zeit abgelaufen,0.61,82,6772,300.5,15,6,20250416-001550,,,,,,,,,,,,,,,,,,
588,kein_Terminated,Zeit abgelaufen,0.57,110,5592,300.5,26,5,20250416-001611,,,,,,,,,,,,,,,,,,
589,kein_Terminated,Zeit abgelaufen,0.68,100,6924,300.5,26,5,20250416-001632,,,,,,,,,,,,,,,,,,
590,kein_Terminated,Zeit abgelaufen,0.61,50,6640,300.5,26,3,20250416-001653,,,,,,,,,,,,,,,,,,
591,kein_Terminated,Zeit abgelaufen,0.47,52,4956,300.5,26,3,20250416-001714,,,,,,,,,,,,,,,,,,
592,kein_Terminated,Zeit abgelaufen,0.63,98,6446,300.5,26,5,20250416-001736,,,,,,,,,,,,,,,,,,
593,kein_Terminated,Zeit abgelaufen,0.62,118,6084,300.5,26,5,20250416-001757,,,,,,,,,,,,,,,,,,
594,kein_Terminated,Zeit abgelaufen,0.68,42,7620,300.5,26,9,20250416-001818,,,,,,,,,,,,,,,,,,
595,kein_Terminated,Zeit abgelaufen,0.72,103,7382,300.5,26,5,20250416-001839,,,,,,,,,,,,,,,,,,
596,kein_Terminated,Zeit abgelaufen,0.59,108,5828,300.5,26,5,20250416-001900,,,,,,,,,,,,,,,,,,
597,kein_Terminated,Zeit abgelaufen,0.63,68,6728,300.5,26,6,20250416-001921,,,,,,,,,,,,,,,,,,
598,kein_Terminated,Zeit abgelaufen,0.68,85,7102,300.5,26,6,20250416-001942,,,,,,,,,,,,,,,,,,
599,kein_Terminated,Zeit abgelaufen,0.54,69,5574,300.5,26,6,20250416-002003,,,,,,,,,,,,,,,,,,
600,kein_Terminated,Zeit abgelaufen,0.69,97,7102,300.5,26,6,20250416-002024,,,,,,,,,,,,,,,,,,
601,kein_Terminated,Zeit abgelaufen,0.69,84,7208,300.5,26,6,20250416-002045,,,,,,,,,,,,,,,,,,
602,kein_Terminated,Zeit abgelaufen,0.67,45,7370,300.5,26,0,20250416-002107,,,,,,,,,,,,,,,,,,
603,kein_Terminated,Zeit abgelaufen,0.72,46,8048,300.5,26,0,20250416-002128,,,,,,,,,,,,,,,,,,
604,kein_Terminated,Zeit abgelaufen,0.72,52,7920,300.5,26,2,20250416-002149,,,,,,,,,,,,,,,,,,
605,kein_Terminated,Zeit abgelaufen,0.68,29,7714,300.5,26,2,20250416-002210,,,,,,,,,,,,,,,,,,
606,kein_Terminated,Zeit abgelaufen,0.65,34,7232,300.5,26,8,20250416-002231,,,,,,,,,,,,,,,,,,
607,kein_Terminated,Zeit abgelaufen,0.62,64,6616,300.5,26,8,20250416-002252,,,,,,,,,,,,,,,,,,
608,kein_Terminated,Zeit abgelaufen,0.64,22,7284,300.5,26,2,20250416-002313,,,,,,,,,,,,,,,,,,
609,kein_Terminated,Zeit abgelaufen,0.71,97,8102,300.5,8,3,20250416-002330,,,,,,,,,,,,,,,,,,
610,kein_Terminated,Zeit abgelaufen,0.71,61,8506,300.5,8,3,20250416-002347,,,,,,,,,,,,,,,,,,
611,kein_Terminated,Zeit abgelaufen,0.65,53,7810,300.5,8,9,20250416-002405,,,,,,,,,,,,,,,,,,
612,kein_Terminated,Zeit abgelaufen,0.71,62,8476,300.5,8,9,20250416-002421,,,,,,,,,,,,,,,,,,
613,kein_Terminated,Zeit abgelaufen,0.66,67,7782,300.5,8,2,20250416-002438,,,,,,,,,,,,,,,,,,
614,kein_Terminated,Zeit abgelaufen,0.71,82,8296,300.5,8,2,20250416-002455,,,,,,,,,,,,,,,,,,
615,kein_Terminated,Zeit abgelaufen,0.59,70,6816,300.5,8,4,20250416-002512,,,,,,,,,,,,,,,,,,
616,kein_Terminated,Zeit abgelaufen,0.63,69,7294,300.5,15,8,20250416-002530,,,,,,,,,,,,,,,,,,
617,kein_Terminated,Zeit abgelaufen,0.48,52,5452,300.5,15,8,20250416-002548,,,,,,,,,,,,,,,,,,
618,kein_Terminated,Zeit abgelaufen,0.62,75,7070,300.5,15,8,20250416-002606,,,,,,,,,,,,,,,,,,
619,kein_Terminated,Zeit abgelaufen,0.66,54,7772,300.5,15,8,20250416-002623,,,,,,,,,,,,,,,,,,
620,kein_Terminated,Zeit abgelaufen,0.5,36,5856,300.5,15,0,20250416-002641,,,,,,,,,,,,,,,,,,
621,kein_Terminated,Zeit abgelaufen,0.46,79,4966,300.5,15,0,20250416-002659,,,,,,,,,,,,,,,,,,
622,kein_Terminated,Zeit abgelaufen,0.61,50,7180,300.5,15,8,20250416-002716,,,,,,,,,,,,,,,,,,
623,kein_Terminated,Zeit abgelaufen,0.64,68,7524,300.5,8,2,20250416-002734,,,,,,,,,,,,,,,,,,
624,kein_Terminated,Zeit abgelaufen,0.71,89,8138,300.5,8,2,20250416-002751,,,,,,,,,,,,,,,,,,
625,kein_Terminated,Zeit abgelaufen,0.24,211,922,300.5,8,6,20250416-002807,,,,,,,,,,,,,,,,,,
626,kein_Terminated,Zeit abgelaufen,0.45,45,5302,300.5,8,6,20250416-002824,,,,,,,,,,,,,,,,,,
627,kein_Terminated,Zeit abgelaufen,0.55,36,6640,300.5,8,7,20250416-002841,,,,,,,,,,,,,,,,,,
628,kein_Terminated,Zeit abgelaufen,0.73,58,8812,300.5,8,7,20250416-002858,,,,,,,,,,,,,,,,,,
629,kein_Terminated,Zeit abgelaufen,0.74,39,9130,300.5,8,7,20250416-002915,,,,,,,,,,,,,,,,,,
630,kein_Terminated,Zeit abgelaufen,0.63,48,6864,300.5,26,5,20250416-002936,,,,,,,,,,,,,,,,,,
631,kein_Terminated,Zeit abgelaufen,0.62,44,6800,300.5,26,5,20250416-002957,,,,,,,,,,,,,,,,,,
632,kein_Terminated,Zeit abgelaufen,0.66,16,7604,300.5,26,2,20250416-003018,,,,,,,,,,,,,,,,,,
633,kein_Terminated,Zeit abgelaufen,0.7,26,7960,300.5,26,2,20250416-003040,,,,,,,,,,,,,,,,,,
634,kein_Terminated,Zeit abgelaufen,0.64,47,7042,300.5,26,3,20250416-003101,,,,,,,,,,,,,,,,,,
635,kein_Terminated,Zeit abgelaufen,0.65,27,7406,300.5,26,3,20250416-003122,,,,,,,,,,,,,,,,,,
636,kein_Terminated,Zeit abgelaufen,0.55,50,5924,300.5,26,5,20250416-003143,,,,,,,,,,,,,,,,,,
637,kein_Terminated,Zeit abgelaufen,0.46,62,5104,300.5,15,4,20250416-003200,,,,,,,,,,,,,,,,,,
638,kein_Terminated,Zeit abgelaufen,0.45,49,5158,300.5,15,4,20250416-003218,,,,,,,,,,,,,,,,,,
639,kein_Terminated,Zeit abgelaufen,0.59,71,6738,300.5,15,8,20250416-003236,,,,,,,,,,,,,,,,,,
640,kein_Terminated,Zeit abgelaufen,0.49,70,5382,300.5,15,8,20250416-003254,,,,,,,,,,,,,,,,,,
641,kein_Terminated,Zeit abgelaufen,0.61,69,6970,300.5,15,2,20250416-003312,,,,,,,,,,,,,,,,,,
642,kein_Terminated,Zeit abgelaufen,0.64,81,7222,300.5,15,2,20250416-003329,,,,,,,,,,,,,,,,,,
643,kein_Terminated,Zeit abgelaufen,0.46,91,4822,300.5,15,6,20250416-003346,,,,,,,,,,,,,,,,,,
644,kein_Terminated,Zeit abgelaufen,0.66,22,8324,300.5,5,0,20250416-003403,,,,,,,,,,,,,,,,,,
645,kein_Terminated,Zeit abgelaufen,0.66,29,8314,300.5,5,0,20250416-003420,,,,,,,,,,,,,,,,,,
646,kein_Terminated,Zeit abgelaufen,0.73,15,9262,300.5,5,2,20250416-003436,,,,,,,,,,,,,,,,,,
647,kein_Terminated,Zeit abgelaufen,0.74,29,9270,300.5,5,2,20250416-003453,,,,,,,,,,,,,,,,,,
648,kein_Terminated,Zeit abgelaufen,0.71,17,9086,300.5,5,9,20250416-003510,,,,,,,,,,,,,,,,,,
649,kein_Terminated,Zeit abgelaufen,0.64,55,7742,300.5,5,9,20250416-003526,,,,,,,,,,,,,,,,,,
650,kein_Terminated,Zeit abgelaufen,0.59,47,7250,300.5,5,2,20250416-003543,,,,,,,,,,,,,,,,,,
651,kein_Terminated,Zeit abgelaufen,0.54,53,6204,300.5,15,0,20250416-003601,,,,,,,,,,,,,,,,,,
652,kein_Terminated,Zeit abgelaufen,0.46,73,4946,300.5,15,0,20250416-003619,,,,,,,,,,,,,,,,,,
653,kein_Terminated,Zeit abgelaufen,0.6,84,6720,300.5,15,7,20250416-003636,,,,,,,,,,,,,,,,,,
654,kein_Terminated,Zeit abgelaufen,0.42,47,4698,300.5,15,7,20250416-003653,,,,,,,,,,,,,,,,,,
655,kein_Terminated,Zeit abgelaufen,0.68,91,7590,300.5,15,9,20250416-003711,,,,,,,,,,,,,,,,,,
656,kein_Terminated,Zeit abgelaufen,0.55,49,6454,300.5,15,9,20250416-003729,,,,,,,,,,,,,,,,,,
657,kein_Terminated,Zeit abgelaufen,0.56,43,6558,300.5,15,8,20250416-003747,,,,,,,,,,,,,,,,,,
658,kein_Terminated,Zeit abgelaufen,0.65,39,7210,300.5,26,2,20250416-003808,,,,,,,,,,,,,,,,,,
659,kein_Terminated,Zeit abgelaufen,0.65,10,7480,300.5,26,2,20250416-003829,,,,,,,,,,,,,,,,,,
660,kein_Terminated,Zeit abgelaufen,0.73,43,8102,300.5,26,0,20250416-003850,,,,,,,,,,,,,,,,,,
661,kein_Terminated,Zeit abgelaufen,0.7,38,7844,300.5,26,0,20250416-003911,,,,,,,,,,,,,,,,,,
662,kein_Terminated,Zeit abgelaufen,0.7,28,7948,300.5,26,4,20250416-003932,,,,,,,,,,,,,,,,,,
663,kein_Terminated,Zeit abgelaufen,0.61,20,6980,300.5,26,4,20250416-003952,,,,,,,,,,,,,,,,,,
664,kein_Terminated,Zeit abgelaufen,0.67,47,7410,300.5,26,9,20250416-004014,,,,,,,,,,,,,,,,,,
8,kein_Terminated,Zeit abgelaufen,0.1,404,-2864,300.5,5,0,20250416-004038,,,,,,,,,,,,,,,,,,
665,kein_Terminated,Zeit abgelaufen,0.74,51,8182,300.5,26,9,20250416-004047,,,,,,,,,,,,,,,,,,
666,kein_Terminated,Zeit abgelaufen,0.69,16,7920,300.5,26,9,20250416-004108,,,,,,,,,,,,,,,,,,
667,kein_Terminated,Zeit abgelaufen,0.61,21,6954,300.5,26,2,20250416-004129,,,,,,,,,,,,,,,,,,
668,kein_Terminated,Zeit abgelaufen,0.69,28,7792,300.5,26,2,20250416-004151,,,,,,,,,,,,,,,,,,
669,kein_Terminated,Zeit abgelaufen,0.68,24,7784,300.5,26,0,20250416-004212,,,,,,,,,,,,,,,,,,
670,kein_Terminated,Zeit abgelaufen,0.73,59,8042,300.5,26,0,20250416-004233,,,,,,,,,,,,,,,,,,
671,kein_Terminated,Zeit abgelaufen,0.66,38,7360,300.5,26,8,20250416-004254,,,,,,,,,,,,,,,,,,
672,kein_Terminated,Zeit abgelaufen,0.73,53,8838,300.5,8,3,20250416-004311,,,,,,,,,,,,,,,,,,
673,kein_Terminated,Zeit abgelaufen,0.71,51,8550,300.5,8,3,20250416-004328,,,,,,,,,,,,,,,,,,
674,kein_Terminated,Zeit abgelaufen,0.67,50,8040,300.5,8,8,20250416-004345,,,,,,,,,,,,,,,,,,
675,kein_Terminated,Zeit abgelaufen,0.76,78,8872,300.5,8,8,20250416-004402,,,,,,,,,,,,,,,,,,
676,kein_Terminated,Zeit abgelaufen,0.73,49,8902,300.5,8,2,20250416-004419,,,,,,,,,,,,,,,,,,
677,kein_Terminated,Zeit abgelaufen,0.71,57,8466,300.5,8,2,20250416-004436,,,,,,,,,,,,,,,,,,
678,kein_Terminated,Zeit abgelaufen,0.69,39,8426,300.5,8,5,20250416-004453,,,,,,,,,,,,,,,,,,
679,kein_Terminated,Zeit abgelaufen,0.57,78,6544,300.5,8,1,20250416-004510,,,,,,,,,,,,,,,,,,
680,kein_Terminated,Zeit abgelaufen,0.62,40,7512,300.5,8,1,20250416-004527,,,,,,,,,,,,,,,,,,
681,kein_Terminated,Zeit abgelaufen,0.64,49,7722,300.5,8,1,20250416-004544,,,,,,,,,,,,,,,,,,
682,kein_Terminated,Zeit abgelaufen,0.7,63,8374,300.5,8,1,20250416-004601,,,,,,,,,,,,,,,,,,
683,kein_Terminated,Zeit abgelaufen,0.63,63,7462,300.5,8,1,20250416-004617,,,,,,,,,,,,,,,,,,
684,kein_Terminated,Zeit abgelaufen,0.57,113,6182,300.5,8,1,20250416-004634,,,,,,,,,,,,,,,,,,
685,kein_Terminated,Zeit abgelaufen,0.59,28,7304,300.5,8,5,20250416-004651,,,,,,,,,,,,,,,,,,
686,kein_Terminated,Zeit abgelaufen,0.58,66,6560,300.5,15,2,20250416-004709,,,,,,,,,,,,,,,,,,
687,kein_Terminated,Zeit abgelaufen,0.65,46,7648,300.5,15,2,20250416-004727,,,,,,,,,,,,,,,,,,
688,kein_Terminated,Zeit abgelaufen,0.57,81,6350,300.5,15,5,20250416-004745,,,,,,,,,,,,,,,,,,
689,kein_Terminated,Zeit abgelaufen,0.47,59,5210,300.5,15,5,20250416-004803,,,,,,,,,,,,,,,,,,
690,kein_Terminated,Zeit abgelaufen,0.68,49,8026,300.5,15,8,20250416-004820,,,,,,,,,,,,,,,,,,
691,kein_Terminated,Zeit abgelaufen,0.54,55,6254,300.5,15,8,20250416-004838,,,,,,,,,,,,,,,,,,
692,kein_Terminated,Zeit abgelaufen,0.43,79,4602,300.5,15,7,20250416-004856,,,,,,,,,,,,,,,,,,
693,kein_Terminated,Zeit abgelaufen,0.69,77,7922,300.5,15,3,20250416-004914,,,,,,,,,,,,,,,,,,
694,kein_Terminated,Zeit abgelaufen,0.47,41,5394,300.5,15,3,20250416-004932,,,,,,,,,,,,,,,,,,
695,kein_Terminated,Zeit abgelaufen,0.64,57,7458,300.5,15,3,20250416-004950,,,,,,,,,,,,,,,,,,
696,kein_Terminated,Zeit abgelaufen,0.6,52,6976,300.5,15,3,20250416-005007,,,,,,,,,,,,,,,,,,
697,kein_Terminated,Zeit abgelaufen,0.56,56,6404,300.5,15,7,20250416-005025,,,,,,,,,,,,,,,,,,
698,kein_Terminated,Zeit abgelaufen,0.59,68,6696,300.5,15,7,20250416-005043,,,,,,,,,,,,,,,,,,
699,kein_Terminated,Zeit abgelaufen,0.54,44,6268,300.5,15,3,20250416-005100,,,,,,,,,,,,,,,,,,
700,kein_Terminated,Zeit abgelaufen,0.44,139,4122,300.5,15,6,20250416-005117,,,,,,,,,,,,,,,,,,
701,kein_Terminated,Zeit abgelaufen,0.43,75,4562,300.5,15,6,20250416-005135,,,,,,,,,,,,,,,,,,
702,kein_Terminated,Zeit abgelaufen,0.58,44,6856,300.5,15,3,20250416-005153,,,,,,,,,,,,,,,,,,
703,kein_Terminated,Zeit abgelaufen,0.53,70,5928,300.5,15,3,20250416-005211,,,,,,,,,,,,,,,,,,
704,kein_Terminated,Zeit abgelaufen,0.62,85,6974,300.5,15,6,20250416-005228,,,,,,,,,,,,,,,,,,
705,kein_Terminated,Zeit abgelaufen,0.54,71,6022,300.5,15,6,20250416-005246,,,,,,,,,,,,,,,,,,
706,kein_Terminated,Zeit abgelaufen,0.53,78,5860,300.5,15,8,20250416-005304,,,,,,,,,,,,,,,,,,
707,kein_Terminated,Zeit abgelaufen,0.58,26,6936,300.5,15,8,20250416-005322,,,,,,,,,,,,,,,,,,
708,kein_Terminated,Zeit abgelaufen,0.61,71,6994,300.5,15,8,20250416-005339,,,,,,,,,,,,,,,,,,
709,kein_Terminated,Zeit abgelaufen,0.52,44,6096,300.5,15,8,20250416-005356,,,,,,,,,,,,,,,,,,
710,kein_Terminated,Zeit abgelaufen,0.63,65,7242,300.5,15,8,20250416-005414,,,,,,,,,,,,,,,,,,
711,kein_Terminated,Zeit abgelaufen,0.62,55,7158,300.5,15,3,20250416-005432,,,,,,,,,,,,,,,,,,
712,kein_Terminated,Zeit abgelaufen,0.67,66,7688,300.5,15,3,20250416-005450,,,,,,,,,,,,,,,,,,
713,kein_Terminated,Zeit abgelaufen,0.6,76,6792,300.5,15,2,20250416-005508,,,,,,,,,,,,,,,,,,
714,kein_Terminated,Zeit abgelaufen,0.62,19,7754,300.5,0,0,20250416-005525,,,,,,,,,,,,,,,,,,
715,kein_Terminated,Zeit abgelaufen,0.71,52,8572,300.5,0,0,20250416-005541,,,,,,,,,,,,,,,,,,
716,kein_Terminated,Zeit abgelaufen,0.61,23,7566,300.5,0,1,20250416-005558,,,,,,,,,,,,,,,,,,
717,kein_Terminated,Zeit abgelaufen,0.67,16,8460,300.5,0,1,20250416-005615,,,,,,,,,,,,,,,,,,
718,kein_Terminated,Zeit abgelaufen,0.63,38,7732,300.5,0,3,20250416-005632,,,,,,,,,,,,,,,,,,
719,kein_Terminated,Zeit abgelaufen,0.64,29,7954,300.5,0,3,20250416-005648,,,,,,,,,,,,,,,,,,
720,kein_Terminated,Zeit abgelaufen,0.6,21,7538,300.5,0,4,20250416-005705,,,,,,,,,,,,,,,,,,
721,kein_Terminated,Zeit abgelaufen,0.5,69,5578,300.5,15,4,20250416-005723,,,,,,,,,,,,,,,,,,
722,kein_Terminated,Zeit abgelaufen,0.44,45,4978,300.5,15,4,20250416-005741,,,,,,,,,,,,,,,,,,
723,kein_Terminated,Zeit abgelaufen,0.69,95,7730,300.5,15,4,20250416-005758,,,,,,,,,,,,,,,,,,
724,kein_Terminated,Zeit abgelaufen,0.56,46,6484,300.5,15,4,20250416-005816,,,,,,,,,,,,,,,,,,
725,kein_Terminated,Zeit abgelaufen,0.64,55,7506,300.5,15,4,20250416-005833,,,,,,,,,,,,,,,,,,
726,kein_Terminated,Zeit abgelaufen,0.43,35,4958,300.5,15,4,20250416-005851,,,,,,,,,,,,,,,,,,
727,kein_Terminated,Zeit abgelaufen,0.53,57,6122,300.5,15,8,20250416-005909,,,,,,,,,,,,,,,,,,
728,kein_Terminated,Zeit abgelaufen,0.72,57,7886,300.5,26,9,20250416-005930,,,,,,,,,,,,,,,,,,
729,kein_Terminated,Zeit abgelaufen,0.67,55,7290,300.5,26,9,20250416-005951,,,,,,,,,,,,,,,,,,
730,kein_Terminated,Zeit abgelaufen,0.64,53,6930,300.5,26,1,20250416-010013,,,,,,,,,,,,,,,,,,
731,kein_Terminated,Zeit abgelaufen,0.66,53,7206,300.5,26,1,20250416-010034,,,,,,,,,,,,,,,,,,
732,kein_Terminated,Zeit abgelaufen,0.62,50,6752,300.5,26,5,20250416-010055,,,,,,,,,,,,,,,,,,
733,kein_Terminated,Zeit abgelaufen,0.6,43,6606,300.5,26,5,20250416-010116,,,,,,,,,,,,,,,,,,
734,kein_Terminated,Zeit abgelaufen,0.74,51,8182,300.5,26,2,20250416-010137,,,,,,,,,,,,,,,,,,
735,kein_Terminated,Zeit abgelaufen,0.69,26,8640,300.5,5,3,20250416-010153,,,,,,,,,,,,,,,,,,
736,kein_Terminated,Zeit abgelaufen,0.62,70,7328,300.5,5,3,20250416-010210,,,,,,,,,,,,,,,,,,
737,kein_Terminated,Zeit abgelaufen,0.63,26,7912,300.5,5,3,20250416-010226,,,,,,,,,,,,,,,,,,
738,kein_Terminated,Zeit abgelaufen,0.62,33,7678,300.5,5,3,20250416-010242,,,,,,,,,,,,,,,,,,
739,kein_Terminated,Zeit abgelaufen,0.69,37,8594,300.5,5,5,20250416-010258,,,,,,,,,,,,,,,,,,
740,kein_Terminated,Zeit abgelaufen,0.66,47,8022,300.5,5,5,20250416-010315,,,,,,,,,,,,,,,,,,
741,kein_Terminated,Zeit abgelaufen,0.7,49,8646,300.5,5,7,20250416-010331,,,,,,,,,,,,,,,,,,
742,kein_Terminated,Zeit abgelaufen,0.7,49,8514,300.5,8,2,20250416-010348,,,,,,,,,,,,,,,,,,
743,kein_Terminated,Zeit abgelaufen,0.69,60,8272,300.5,8,2,20250416-010404,,,,,,,,,,,,,,,,,,
744,kein_Terminated,Zeit abgelaufen,0.57,28,6980,300.5,8,6,20250416-010421,,,,,,,,,,,,,,,,,,
745,kein_Terminated,Zeit abgelaufen,0.67,55,8054,300.5,8,6,20250416-010437,,,,,,,,,,,,,,,,,,
746,kein_Terminated,Zeit abgelaufen,0.56,114,5992,300.5,8,6,20250416-010454,,,,,,,,,,,,,,,,,,
747,kein_Terminated,Zeit abgelaufen,0.55,45,6634,300.5,8,6,20250416-010510,,,,,,,,,,,,,,,,,,
9,kein_Terminated,Zeit abgelaufen,0.29,25,3502,300.5,5,2,20250416-010533,,,,,,,,,,,,,,,,,,
748,kein_Terminated,Zeit abgelaufen,0.74,63,8786,300.5,8,3,20250416-010540,,,,,,,,,,,,,,,,,,
749,kein_Terminated,Zeit abgelaufen,0.65,70,7436,300.5,15,2,20250416-010558,,,,,,,,,,,,,,,,,,
750,kein_Terminated,Zeit abgelaufen,0.65,45,7642,300.5,15,2,20250416-010615,,,,,,,,,,,,,,,,,,
751,kein_Terminated,Zeit abgelaufen,0.51,84,5512,300.5,15,9,20250416-010632,,,,,,,,,,,,,,,,,,
752,kein_Terminated,Zeit abgelaufen,0.26,65,2510,300.5,15,9,20250416-010649,,,,,,,,,,,,,,,,,,
753,kein_Terminated,Zeit abgelaufen,0.68,53,8030,300.5,15,8,20250416-010706,,,,,,,,,,,,,,,,,,
754,kein_Terminated,Zeit abgelaufen,0.63,83,7022,300.5,15,8,20250416-010723,,,,,,,,,,,,,,,,,,
755,kein_Terminated,Zeit abgelaufen,0.5,74,5464,300.5,15,8,20250416-010740,,,,,,,,,,,,,,,,,,
756,kein_Terminated,Zeit abgelaufen,0.67,42,8128,300.5,0,3,20250416-010756,,,,,,,,,,,,,,,,,,
757,kein_Terminated,Zeit abgelaufen,0.67,24,8332,300.5,0,3,20250416-010813,,,,,,,,,,,,,,,,,,
758,kein_Terminated,Zeit abgelaufen,0.64,21,8002,300.5,0,4,20250416-010829,,,,,,,,,,,,,,,,,,
759,kein_Terminated,Zeit abgelaufen,0.6,24,7404,300.5,0,4,20250416-010845,,,,,,,,,,,,,,,,,,
760,kein_Terminated,Zeit abgelaufen,0.62,20,7788,300.5,0,5,20250416-010902,,,,,,,,,,,,,,,,,,
761,kein_Terminated,Zeit abgelaufen,0.67,17,8502,300.5,0,5,20250416-010918,,,,,,,,,,,,,,,,,,
762,kein_Terminated,Zeit abgelaufen,0.67,33,8286,300.5,0,1,20250416-010935,,,,,,,,,,,,,,,,,,
