DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
94,kein_Terminated,Zeit abgelaufen,0.34,183,2362,300.5,15,5,20250415-214759,,,,,,,,,,,,,,,,,,
95,kein_Terminated,Zeit abgelaufen,0.3,75,2990,300.5,15,1,20250415-214818,,,,,,,,,,,,,,,,,,
96,kein_Terminated,Zeit abgelaufen,0.41,145,3690,300.5,15,1,20250415-214836,,,,,,,,,,,,,,,,,,
97,kein_Terminated,Zeit abgelaufen,0.2,40,2016,300.5,15,2,20250415-214853,,,,,,,,,,,,,,,,,,
98,kein_Terminated,Zeit abgelaufen,0.36,354,1004,300.5,8,2,20250415-214910,,,,,,,,,,,,,,,,,,
99,kein_Terminated,Zeit abgelaufen,0.52,122,5352,300.5,8,2,20250415-214927,,,,,,,,,,,,,,,,,,
100,kein_Terminated,Zeit abgelaufen,0.43,116,4248,300.5,8,4,20250415-214944,,,,,,,,,,,,,,,,,,
101,kein_Terminated,Zeit abgelaufen,0.35,65,3802,300.5,8,4,20250415-215001,,,,,,,,,,,,,,,,,,
102,kein_Terminated,Zeit abgelaufen,0.5,81,5558,300.5,8,7,20250415-215019,,,,,,,,,,,,,,,,,,
103,kein_Terminated,Zeit abgelaufen,0.36,82,3732,300.5,8,7,20250415-215036,,,,,,,,,,,,,,,,,,
104,kein_Terminated,Zeit abgelaufen,0.38,81,4014,300.5,8,9,20250415-215053,,,,,,,,,,,,,,,,,,
105,kein_Terminated,Zeit abgelaufen,0.43,89,4070,300.5,26,6,20250415-215114,,,,,,,,,,,,,,,,,,
106,kein_Terminated,Zeit abgelaufen,0.31,112,2508,300.5,26,6,20250415-215135,,,,,,,,,,,,,,,,,,
107,kein_Terminated,Zeit abgelaufen,0.38,95,3486,300.5,26,3,20250415-215156,,,,,,,,,,,,,,,,,,
108,kein_Terminated,Zeit abgelaufen,0.4,113,3502,300.5,26,3,20250415-215217,,,,,,,,,,,,,,,,,,
