DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,4,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
157,kein_Terminated,Zeit abgelaufen,0.58,84,7307.0,300.5,21,20250409-151633
158,kein_Terminated,Zeit abgelaufen,0.59,66,7301.0,300.5,21,20250409-151651
159,kein_Terminated,Zeit abgelaufen,0.49,151,2043.0,300.5,21,20250409-151712
160,kein_Terminated,Zeit abgelaufen,0.58,91,5779.0,300.5,21,20250409-151732
161,kein_Terminated,Zeit abgelaufen,0.34,82,1808.0,300.5,21,20250409-151750
162,kein_Terminated,Zeit abgelaufen,0.69,115,7950.0,300.5,21,20250409-151809
163,kein_Terminated,Zeit abgelaufen,0.52,31,6713.0,300.5,21,20250409-151828
164,kein_Terminated,Zeit abgelaufen,0.52,55,5246.0,300.5,21,20250409-151847
165,kein_Terminated,Zeit abgelaufen,0.55,122,5465.0,300.5,21,20250409-151906
166,kein_Terminated,Zeit abgelaufen,0.67,79,3953.0,300.5,21,20250409-151925
2,kein_Terminated,Zeit abgelaufen,0.45,28,5304.0,300.5,21,20250409-151948
167,kein_Terminated,Zeit abgelaufen,0.41,22,4703.0,300.5,21,20250409-152002
168,kein_Terminated,Zeit abgelaufen,0.4,168,-9132.0,300.5,21,20250409-152020
169,kein_Terminated,Zeit abgelaufen,0.25,23,3505.0,300.5,21,20250409-152039
170,kein_Terminated,Zeit abgelaufen,0.5,35,6215.0,300.5,21,20250409-152058
171,kein_Terminated,Zeit abgelaufen,0.56,69,6687.0,300.5,21,20250409-152117
172,kein_Terminated,Zeit abgelaufen,0.5,191,-4682.0,300.5,21,20250409-152136
173,kein_Terminated,Zeit abgelaufen,0.48,46,6435.0,300.5,21,20250409-152156
174,kein_Terminated,Zeit abgelaufen,0.6,59,7914.0,300.5,21,20250409-152215
175,kein_Terminated,Zeit abgelaufen,0.47,280,-13360.0,300.5,21,20250409-152234
176,kein_Terminated,Zeit abgelaufen,0.65,107,7515.0,300.5,21,20250409-152253
177,kein_Terminated,Zeit abgelaufen,0.52,51,6959.0,300.5,21,20250409-152312
178,kein_Terminated,Zeit abgelaufen,0.61,80,5040.0,300.5,21,20250409-152330
179,kein_Terminated,Zeit abgelaufen,0.6,117,3256.0,300.5,21,20250409-152348
180,kein_Terminated,Zeit abgelaufen,0.57,124,3915.0,300.5,21,20250409-152409
181,kein_Terminated,Zeit abgelaufen,0.72,90,7005.0,300.5,21,20250409-152428
182,kein_Terminated,Zeit abgelaufen,0.54,125,5272.0,300.5,21,20250409-152447
183,kein_Terminated,Zeit abgelaufen,0.56,122,2296.0,300.5,21,20250409-152508
184,kein_Terminated,Zeit abgelaufen,0.47,64,4045.0,300.5,21,20250409-152527
185,kein_Terminated,Zeit abgelaufen,0.66,69,6351.0,300.5,21,20250409-152547
