DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
231,kein_Terminated,Zeit abgelaufen,0.08,567,-5156,21,20250406-222246
232,kein_Terminated,Zeit abgelaufen,0.15,545,-4204,21,20250406-222256
233,kein_Terminated,Zeit abgelaufen,0.05,595,-5661,21,20250406-222305
234,kein_Terminated,Zeit abgelaufen,0.05,584,-5534,21,20250406-222315
235,kein_Terminated,Zeit abgelaufen,0.12,584,-5040,21,20250406-222324
236,kein_Terminated,Zeit abgelaufen,0.06,577,-5392,21,20250406-222333
237,kein_Terminated,Zeit abgelaufen,0.06,579,-5402,21,20250406-222343
238,kein_Terminated,Zeit abgelaufen,0.07,579,-5368,21,20250406-222352
239,kein_Terminated,Zeit abgelaufen,0.11,580,-5085,21,20250406-222402
240,kein_Terminated,Zeit abgelaufen,0.07,575,-5266,21,20250406-222411
241,kein_Terminated,Zeit abgelaufen,0.13,584,-4769,21,20250406-222420
242,kein_Terminated,Zeit abgelaufen,0.06,578,-5363,21,20250406-222430
243,kein_Terminated,Zeit abgelaufen,0.08,598,-5458,21,20250406-222439
244,kein_Terminated,Zeit abgelaufen,0.12,507,-4078,21,20250406-222449
245,kein_Terminated,Zeit abgelaufen,0.11,585,-4805,21,20250406-222458
246,kein_Terminated,Zeit abgelaufen,0.08,567,-5082,21,20250406-222507
247,kein_Terminated,Zeit abgelaufen,0.17,569,-4513,21,20250406-222517
248,kein_Terminated,Zeit abgelaufen,0.1,563,-4900,21,20250406-222526
249,kein_Terminated,Zeit abgelaufen,0.09,572,-5126,21,20250406-222536
3,kein_Terminated,Zeit abgelaufen,0.06,573,-5310,21,20250406-222548
250,kein_Terminated,Zeit abgelaufen,0.15,571,-4693,21,20250406-222554
251,kein_Terminated,Zeit abgelaufen,0.18,534,-3482,21,20250406-222603
252,kein_Terminated,Zeit abgelaufen,0.02,598,-5865,21,20250406-222613
253,kein_Terminated,Zeit abgelaufen,0.1,558,-4897,21,20250406-222622
254,kein_Terminated,Zeit abgelaufen,0.09,579,-5051,21,20250406-222631
255,kein_Terminated,Zeit abgelaufen,0.15,559,-4629,21,20250406-222641
256,kein_Terminated,Zeit abgelaufen,0.06,602,-5511,21,20250406-222650
257,kein_Terminated,Zeit abgelaufen,0.12,602,-4968,21,20250406-222700
258,kein_Terminated,Zeit abgelaufen,0.16,494,-3598,21,20250406-222709
259,kein_Terminated,Zeit abgelaufen,0.11,559,-4861,21,20250406-222718
260,kein_Terminated,Zeit abgelaufen,0.1,602,-5187,21,20250406-222728
261,kein_Terminated,Zeit abgelaufen,0.1,562,-4939,21,20250406-222737
262,kein_Terminated,Zeit abgelaufen,0.13,525,-4232,21,20250406-222747
263,kein_Terminated,Zeit abgelaufen,0.1,576,-4973,21,20250406-222756
264,kein_Terminated,Zeit abgelaufen,0.09,562,-4995,21,20250406-222805
265,kein_Terminated,Zeit abgelaufen,0.1,517,-4425,21,20250406-222815
266,kein_Terminated,Zeit abgelaufen,0.02,602,-5938,21,20250406-222824
267,kein_Terminated,Zeit abgelaufen,0.02,602,-5928,21,20250406-222834
268,kein_Terminated,Zeit abgelaufen,0.09,602,-5496,21,20250406-222843
269,kein_Terminated,Zeit abgelaufen,0.19,514,-3786,21,20250406-222853
270,kein_Terminated,Zeit abgelaufen,0.08,593,-5469,21,20250406-222902
271,kein_Terminated,Zeit abgelaufen,0.14,602,-5134,21,20250406-222911
272,kein_Terminated,Zeit abgelaufen,0.1,556,-4905,21,20250406-222921
273,kein_Terminated,Zeit abgelaufen,0.1,558,-4939,21,20250406-222930
274,kein_Terminated,Zeit abgelaufen,0.16,542,-4316,21,20250406-222940
275,kein_Terminated,Zeit abgelaufen,0.07,602,-5618,21,20250406-222949
276,kein_Terminated,Zeit abgelaufen,0.08,601,-5493,21,20250406-222959
277,kein_Terminated,Zeit abgelaufen,0.08,568,-5155,21,20250406-223008
278,kein_Terminated,Zeit abgelaufen,0.16,566,-4539,21,20250406-223018
279,kein_Terminated,Zeit abgelaufen,0.09,570,-5062,21,20250406-223027
280,kein_Terminated,Zeit abgelaufen,0.11,534,-4438,21,20250406-223037
281,kein_Terminated,Zeit abgelaufen,0.1,561,-4879,21,20250406-223046
282,kein_Terminated,Zeit abgelaufen,0.16,440,-3094,21,20250406-223055
283,kein_Terminated,Zeit abgelaufen,0.18,499,-3578,21,20250406-223105
284,kein_Terminated,Zeit abgelaufen,0.15,533,-4254,21,20250406-223114
285,kein_Terminated,Zeit abgelaufen,0.09,568,-4965,21,20250406-223123
286,kein_Terminated,Zeit abgelaufen,0.1,586,-5226,21,20250406-223133
287,kein_Terminated,Zeit abgelaufen,0.06,580,-5425,21,20250406-223142
288,kein_Terminated,Zeit abgelaufen,0.07,564,-5168,21,20250406-223151
289,kein_Terminated,Zeit abgelaufen,0.15,575,-4735,21,20250406-223201
290,kein_Terminated,Zeit abgelaufen,0.12,595,-5173,21,20250406-223210
291,kein_Terminated,Zeit abgelaufen,0.1,573,-5078,21,20250406-223220
292,kein_Terminated,Zeit abgelaufen,0.12,572,-4886,21,20250406-223229
293,kein_Terminated,Zeit abgelaufen,0.11,576,-5025,21,20250406-223238
294,kein_Terminated,Zeit abgelaufen,0.12,574,-4940,21,20250406-223248
295,kein_Terminated,Zeit abgelaufen,0.07,587,-5399,21,20250406-223257
296,kein_Terminated,Zeit abgelaufen,0.14,540,-4463,21,20250406-223307
297,kein_Terminated,Zeit abgelaufen,0.11,580,-5085,21,20250406-223316
